alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_hi,mean_lo,change,se_change,ci_lo_change,ci_hi_change,percent_change,grpid,facet_grp,country_n,prop,global_n,entity,year,who_region
AUS,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,26,0.038461538461538464,NA,Australia,2020,Western Pacific
AUS,2,0.008,0,25,1,0.008,0.008,-0.008,NA,NA,NA,-50,2,1,26,0.9615384615384616,NA,Australia,2020,Western Pacific
AUT,1,0.016,0,50,1,0.016,0.016,NA,NA,NA,NA,NA,3,1,75,0.6666666666666666,NA,Austria,2020,Europe
AUT,2,0.00856,0.0019382122346808838,25,1,0.007759945311342457,0.009360054688657544,-0.0074400000000000004,3.8764244693617676e-4,-0.008212394436098698,-0.006667605563901302,-46,3,1,75,0.3333333333333333,NA,Austria,2020,Europe
BRA,1,0.008,0,145,1,0.008,0.008,NA,NA,NA,NA,NA,5,1,275,0.5272727272727272,NA,Brazil,2020,Americas
BRA,2,0.004492307692307692,0.0028617936421635936,130,2,0.0039957061443408135,0.004988909240274571,-0.003507692307692308,2.5099590634614506e-4,-0.004001817815431077,-0.003013566799953539,-44,5,1,275,0.4727272727272727,NA,Brazil,2020,Americas
CAN,1,0.014,0.0021908902300206644,6,2,0.011700801709516404,0.016299198290483596,NA,NA,NA,NA,NA,6,1,218,0.027522935779816515,NA,Canada,2020,Americas
CAN,2,0.008165094339622642,0.0010911572579944513,212,2,0.008017365369482062,0.008312823309763222,-0.005834905660377358,8.975612244888976e-4,-0.007603959610892828,-0.0040658517098618886,-42,6,1,218,0.9724770642201835,NA,Canada,2020,Americas
DEU,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,NA,8,1,89,0.011235955056179775,NA,Germany,2020,Europe
DEU,2,0.008238636363636365,0.0012775184114274243,88,2,0.007967956075954229,0.0085093166513185,-0.007761363636363636,NA,NA,NA,-49,8,1,89,0.9887640449438202,NA,Germany,2020,Europe
FIN,1,0.013600000000000001,0.0021908902300206644,5,1,0.010879650477366979,0.016320349522633025,NA,NA,NA,NA,NA,11,1,14,0.35714285714285715,NA,Finland,2020,Europe
FIN,2,0.016333333333333335,0.00282842712474619,9,2,0.014159211784737221,0.01850745488192945,0.002733333333333334,0.001359738536958076,-2.042031828954666e-4,0.0056708698495621344,20,11,1,14,0.6428571428571429,NA,Finland,2020,Europe
FRA,1,0.014679012345679013,0.003941765443426667,324,2,0.014248191483867998,0.015109833207490028,NA,NA,NA,NA,NA,12,1,355,0.9126760563380282,NA,France,2020,Europe
FRA,2,0.008,0,31,1,0.008,0.008,-0.006679012345679013,2.1898696907925926e-4,-0.007109691367250695,-0.006248333324107331,-46,12,1,355,0.08732394366197183,NA,France,2020,Europe
GBR,1,0.008,0,42,1,0.008,0.008,NA,NA,NA,NA,NA,13,1,43,0.9767441860465116,NA,United Kingdom,2020,Europe
GBR,2,0.016,NA,1,1,NA,NA,0.008,NA,NA,NA,100,13,1,43,0.023255813953488372,NA,United Kingdom,2020,Europe
ISL,1,0.0179,0.005506561742341787,10,2,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,NA,19,1,16,0.625,NA,Iceland,2020,Europe
ISL,2,0.014,0.0021908902300206644,6,1,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.00807253894769197,2.7253894769197276e-4,-22,19,1,16,0.375,NA,Iceland,2020,Europe
ITA,1,0.03789473684210526,0.014030936102762334,190,1,0.035886810433162906,0.03990266325104761,NA,NA,NA,NA,NA,20,1,1174,0.16183986371379896,NA,Italy,2020,Europe
ITA,2,0.02977032520325203,0.009160493568417827,984,2,0.029197259418497053,0.030343390988007007,-0.008124411638853229,0.0010589721890583146,-0.010202102825798608,-0.00604672045190785,-21,20,1,1174,0.838160136286201,NA,Italy,2020,Europe
JPN,1,0.012710784313725491,0.0034333271520752425,3264,5,0.01259295609060265,0.012828612536848333,NA,NA,NA,NA,NA,21,1,3703,0.8814474750202539,NA,Japan,2020,Western Pacific
JPN,2,0.013726651480637814,0.004625025774993349,439,3,0.013292809358482652,0.014160493602792975,0.0010158671669123227,2.287745153730731e-4,5.673307085324219e-4,0.0014644036252922234,8,21,1,3703,0.11855252497974615,NA,Japan,2020,Western Pacific
SWE,1,0.008307692307692308,0.0015689290811054723,26,1,0.00767398813761437,0.008941396477770246,NA,NA,NA,NA,NA,29,2,27,0.9629629629629629,NA,Sweden,2020,Europe
SWE,2,0.016,NA,1,1,NA,NA,0.007692307692307693,NA,NA,NA,93,29,2,27,0.037037037037037035,NA,Sweden,2020,Europe
TUR,1,0.008129629629629629,9.525793444156803e-4,54,1,0.007869625519125461,0.008389633740133797,NA,NA,NA,NA,NA,30,2,276,0.1956521739130435,NA,Turkey,2020,Europe
TUR,2,0.025563063063063062,0.02007616911018637,222,2,0.022907618280499663,0.02821850784562646,0.017433433433433433,0.0013536454264729942,0.014768609319633447,0.02009825754723342,214,30,2,276,0.8043478260869565,NA,Turkey,2020,Europe
USA,1,0.011218068535825545,0.0043150989136891285,642,6,0.01088364861889663,0.01155248845275446,NA,NA,NA,NA,NA,31,2,847,0.7579693034238488,NA,United States,2020,Americas
