alpha_3_code,mean_grp,n,n_studies,mean_mic_ori,sd_mic_ori,mean_lo_ori,mean_hi_ori,change_mean_ori,change_se_ori,ci_change_lo_ori,ci_change_hi_ori,mean_year,entity,who_region
POL,1,103,3,0.014184466019417476,0.0022567874651924324,0.013743400390911802,0.01462553164792315,NA,NA,NA,NA,2002,Poland,Europe
POL,2,764,3,0.02220549738219895,0.007499125061328508,0.021672897007667814,0.022738097756730087,0.008021031362781475,3.5079331492171193e-4,0.007332525720641255,0.008709537004921695,2002,Poland,Europe
PRT,1,557,3,0.013228007181328546,0.0024140040650022974,0.013027095629975496,0.013428918732681596,NA,NA,NA,NA,2003,Portugal,Europe
PRT,2,3,1,0.016,0,0.016,0.016,0.0027719928186714544,1.0228463494341361e-4,0.0025710828382297423,0.0029729027991131666,2003,Portugal,Europe
SRB,1,3113,2,0.03,0,0.03,0.03,NA,NA,NA,NA,1988,Serbia,Europe
SRB,2,2169,1,0.03,0,0.03,0.03,0,0,0,0,1988,Serbia,Europe
SWE,1,291,3,0.015003436426116838,5.862103817605497e-5,0.014996672928191058,0.015010199924042619,NA,NA,NA,NA,1999,Sweden,Europe
SWE,2,262,4,0.014335877862595419,0.0020626608824670578,0.014084952942039052,0.014586802783151786,-6.675585635214192e-4,1.2747794122108778e-4,-9.179607667802565e-4,-4.171563602625818e-4,1999,Sweden,Europe
TUR,1,240,2,0.013425,0.0029291851295219547,0.013052527625472377,0.013797472374527622,NA,NA,NA,NA,2003,Turkey,Europe
TUR,2,222,1,0.03,0,0.03,0.03,0.016575,1.8907808707661577e-4,0.016203436135257435,0.016946563864742564,2003,Turkey,Europe
USA,1,1131,7,0.015317771883289125,0.006444721568310725,0.014941773160523407,0.015693770606054844,NA,NA,NA,NA,1990,United States,Americas
USA,2,2865,11,0.015634205933682373,0.009851573900474739,0.015273315829600311,0.015995096037764434,3.164340503932477e-4,2.6570511743771654e-4,-2.0449627519455364e-4,8.373643759810491e-4,1990,United States,Americas
UNCLASSIFIED,1,2164,3,0.008,0,0.008,0.008,NA,NA,NA,NA,2004,UNCLASSIFIED,Unclassifed
UNCLASSIFIED,2,282,2,0.015191489361702127,0.0010004617696621181,0.015074216212763189,0.015308762510641066,0.007191489361702127,5.957663140075901e-5,0.007074663453552729,0.007308315269851525,2004,UNCLASSIFIED,Unclassifed
GLOBAL,1,18734,46,0.02173684210526316,0.012267030136777414,0.021561171002917063,0.021912513207609254,NA,NA,NA,NA,NA,GLOBAL,Unclassifed
GLOBAL,2,21896,57,0.021495834855681403,0.017321053537375106,0.021266397561905927,0.021725272149456878,-2.4100724958175598e-4,1.474260881770022e-4,-5.29965681260075e-4,4.795118209656305e-5,NA,GLOBAL,Unclassifed
