alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_hi,mean_lo,change,se_change,ci_lo_change,ci_hi_change,percent_change,grpid,facet_grp,country_n,prop,global_n,entity,year,who_region
JPN,2,0.012170974155069583,0.004174994753369198,2515,9,0.012007727545614305,0.012334220764524862,-0.0033343587939070676,2.1443425159372247e-4,-0.0037547272445942097,-0.0029139903432199256,-22,25,2,5984,0.4202874331550802,NA,Japan,2020,Western Pacific
MEX,1,0.010301369863013698,0.003299675768844462,146,2,0.009761632139498225,0.010841107586529172,NA,NA,NA,NA,NA,28,2,343,0.42565597667638483,NA,Mexico,2020,Americas
MEX,2,0.032,0,197,1,0.032,0.032,0.0216986301369863,2.730831096774223e-4,0.021161496238297342,0.02223576403567526,211,28,2,343,0.5743440233236151,NA,Mexico,2020,Americas
NLD,1,0.013532258064516129,0.00287281059577484,62,2,0.012802700777496566,0.014261815351535692,NA,NA,NA,NA,NA,29,2,204,0.30392156862745096,NA,Netherlands,2020,Europe
NLD,2,0.015,0,142,1,0.015,0.015,0.0014677419354838708,3.648473105108976e-4,7.483656165383365e-4,0.002187118254429405,11,29,2,204,0.696078431372549,NA,Netherlands,2020,Europe
NOR,1,0.015,0,98,1,0.015,0.015,NA,NA,NA,NA,NA,30,2,99,0.98989898989899,NA,Norway,2020,Europe
NOR,2,0.016,NA,1,1,NA,NA,0.0010000000000000009,NA,NA,NA,7,30,2,99,0.010101010101010102,NA,Norway,2020,Europe
POL,1,0.014184466019417476,0.0022567874651924324,103,3,0.013743400390911802,0.01462553164792315,NA,NA,NA,NA,NA,31,2,500,0.206,NA,Poland,2020,Europe
POL,2,0.015,0,397,2,0.015,0.015,8.155339805825234e-4,2.2236787640482844e-4,3.7864127819843926e-4,0.0012524266829666076,6,31,2,500,0.794,NA,Poland,2020,Europe
PRT,1,0.012,0,302,1,0.012,0.012,NA,NA,NA,NA,NA,32,2,557,0.5421903052064632,NA,Portugal,2020,Europe
PRT,2,0.014682352941176471,0.00297315455117596,255,2,0.014315687684741629,0.015049018197611314,0.002682352941176471,1.8618616010967513e-4,0.0023166386744266658,0.003048067207926276,22,32,2,557,0.4578096947935368,NA,Portugal,2020,Europe
SRB,1,0.03,0,3113,2,0.03,0.03,NA,NA,NA,NA,NA,35,2,5282,0.5893600908746687,NA,Serbia,2020,Europe
SRB,2,0.03,0,2169,1,0.03,0.03,0,0,0,0,0,35,2,5282,0.4106399091253313,NA,Serbia,2020,Europe
SWE,1,0.015003436426116838,5.862103817605497e-5,291,3,0.014996672928191058,0.015010199924042619,NA,NA,NA,NA,NA,38,2,553,0.5262206148282098,NA,Sweden,2020,Europe
SWE,2,0.014335877862595419,0.0020626608824670578,262,4,0.014084952942039052,0.014586802783151786,-6.675585635214192e-4,1.2747794122108778e-4,-9.179597681996125e-4,-4.171573588432258e-4,-4,38,2,553,0.47377938517179025,NA,Sweden,2020,Europe
TUR,1,0.013454166666666666,0.002909726750555965,240,2,0.013084168600964686,0.013824164732368647,NA,NA,NA,NA,NA,39,2,462,0.5194805194805194,NA,Turkey,2020,Europe
TUR,2,0.025563063063063062,0.02007616911018637,222,1,0.022907618280499663,0.02821850784562646,0.012108896396396396,0.001360451845434239,0.009435440890310235,0.014782351902482557,90,39,2,462,0.4805194805194805,NA,Turkey,2020,Europe
USA,1,0.013922546419098144,0.007401335389334125,1131,7,0.013490736817449243,0.014354356020747045,NA,NA,NA,NA,NA,41,2,3968,0.2850302419354839,NA,United States,2020,Americas
USA,2,0.015531547409235107,0.00985791918716065,2837,10,0.015168645656568542,0.01589444916190167,0.001609000990136963,2.8755659676223415e-4,0.0010452284061560888,0.0021727735741178373,12,41,2,3968,0.7149697580645161,NA,United States,2020,Americas
UNCLASSIFIED,1,0.008,0,2164,3,0.008,0.008,NA,NA,NA,NA,NA,43,2,2446,0.884709730171709,NA,UNCLASSIFIED,NA,Unclassifed
UNCLASSIFIED,2,0.014992907801418438,0.0029041544763985776,282,2,0.0146524856575844,0.015333329945252477,0.006992907801418438,1.7293988238020888e-4,0.006653783983152764,0.007332031619684112,87,43,2,2446,0.11529026982829109,NA,UNCLASSIFIED,NA,Unclassifed
GLOBAL,1,0.023435621495966088,0.011444828940783773,14626,37,0.023250127201442313,0.023621115790489863,NA,NA,NA,NA,NA,44,2,NA,0.36807006064876563,39737,GLOBAL,NA,Unclassifed
GLOBAL,2,0.02142750189160129,0.01724918893180211,25111,61,0.021214145478914925,0.021640858304287656,-0.002008119604364797,1.442370905261901e-4,-0.002290827718359385,-0.0017254114903702091,-9,44,2,NA,0.6319299393512343,39737,GLOBAL,NA,Unclassifed
