alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_lo,mean_hi,change_mean,change_se,ci_change_lo,ci_change_hi,mean_year,entity,who_region
ARG,1,0.02694356005788712,0.00761470724572222,691,2,0.02637480569312482,0.027512314422649422,NA,NA,NA,NA,1998,Argentina,Americas
ARG,2,0.007767441860465117,4.2746257437545847e-4,43,2,0.007635888297776001,0.007898995423154231,-0.019176118197422005,2.9692125645506347e-4,-0.019759036997004566,-0.018593199397839443,1998,Argentina,Americas
AUS,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,1999,Australia,Western Pacific
AUS,2,0.012756410256410257,0.0032878599894191523,78,2,0.012015112370921352,0.013497708141899161,-0.0032435897435897434,NA,NA,NA,1999,Australia,Western Pacific
AUT,1,0.02776357827476038,0.005137377109495421,313,3,0.027192224214072518,0.028334932335448246,NA,NA,NA,NA,1999,Austria,Europe
AUT,2,0.02930479896238651,0.0038154457525563404,771,4,0.029035056466221128,0.029574541458551894,0.001541220687626129,3.21252286676692e-4,9.108726590827136e-4,0.0021715687161695443,1999,Austria,Europe
BEL,1,0.013072463768115942,0.003149784495801494,69,2,0.012315802914585576,0.013829124621646307,NA,NA,NA,NA,2000,Belgium,Europe
BEL,2,0.01,0,16,1,0.01,0.01,-0.0030724637681159416,3.791894935633923e-4,-0.0038266564198785177,-0.0023182711163533655,2000,Belgium,Europe
BRA,1,0.02495231607629428,0.008937282881669386,1468,3,0.024494755045260257,0.0254098771073283,NA,NA,NA,NA,2001,Brazil,Americas
BRA,2,0.004492307692307692,0.0028617936421635936,130,1,0.0039957061443408135,0.004988909240274571,-0.020460008383986587,3.426510253660271e-4,-0.021132101744376935,-0.01978791502359624,2001,Brazil,Americas
CAN,1,0.022946481665014867,7.092850818200416e-4,1009,2,0.022902664414878652,0.022990298915151083,NA,NA,NA,NA,1998,Canada,Americas
CAN,2,0.009469465648854963,0.0028642703999627603,262,3,0.009121024066105314,0.009817907231604611,-0.013477016016159905,1.783584775418831e-4,-0.013826925945021174,-0.013127106087298635,1998,Canada,Americas
CHE,1,0.008,0,114,1,0.008,0.008,NA,NA,NA,NA,2001,Switzerland,Europe
CHE,2,0.015,0,7,1,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Switzerland,Europe
CHN,1,0.1165057915057915,0.02942028655370471,259,3,0.11290591875716208,0.12010566425442093,NA,NA,NA,NA,2010,China,Western Pacific
CHN,2,0.008,0,342,1,0.008,0.008,-0.10850579150579151,0.0018280876571563748,-0.11209603180957974,-0.10491555120200328,2010,China,Western Pacific
DEU,1,0.016,NA,1,1,NA,NA,NA,NA,NA,NA,1999,Germany,Europe
DEU,2,0.02398802395209581,0.0083544012036679,835,5,0.023420543502428896,0.024555504401762723,0.007988023952095809,NA,NA,NA,1999,Germany,Europe
ESP,1,0.02409449404761905,0.021325527148415815,1344,9,0.02295335174333455,0.025235636351903547,NA,NA,NA,NA,2001,Spain,Europe
ESP,2,0.026704019488428744,0.005216309884442861,4105,3,0.026544401072834917,0.02686363790402257,0.0026095254408096957,5.873712993588446e-4,0.001458042981349072,0.0037610079002703195,2001,Spain,Europe
FIN,1,0.027614525139664805,0.005568976180610503,179,3,0.026793115561376542,0.028435934717953068,NA,NA,NA,NA,2006,Finland,Europe
FIN,2,0.016333333333333335,0.00282842712474619,9,1,0.014159211784737221,0.01850745488192945,-0.01128119180633147,0.0010306059583584856,-0.013314371358465471,-0.009248012254197469,2006,Finland,Europe
FRA,1,0.014456852791878173,0.0032926857169847555,591,4,0.014190843716468771,0.014722861867287575,NA,NA,NA,NA,2000,France,Europe
