alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_hi,mean_lo,change,se_change,ci_lo_change,ci_hi_change,percent_change,grpid,facet_grp,country_n,prop,global_n,entity,year,who_region
CAN,2,0.008147169811320755,0.0010641248142565572,262,2,0.00801771788020156,0.00827662174243995,-0.0067861635220125786,8.075188971735738e-5,-0.0069445852978405834,-0.006627741746184574,-45,6,1,1271,0.20613690007867821,NA,Canada,2020,Americas
CHN,1,NA,NA,259,3,NA,NA,NA,NA,NA,NA,NA,8,1,601,0.43094841930116473,NA,China,2020,Western Pacific
CHN,2,NA,NA,342,1,NA,NA,NA,NA,NA,NA,NA,8,1,601,0.5690515806988353,NA,China,2020,Western Pacific
DEU,1,0.016,NA,591,2,NA,NA,NA,NA,NA,NA,NA,9,1,836,0.7069377990430622,NA,Germany,2020,Europe
DEU,2,0.008079545454545454,7.462025072446364e-4,245,3,0.0079856420709256,0.008173448838165308,-0.007920454545454546,NA,NA,NA,-50,9,1,836,0.2930622009569378,NA,Germany,2020,Europe
ESP,1,0.008134615384615384,9.707253433941509e-4,1344,8,0.0080826712639622891,0.00818655950526848,NA,NA,NA,NA,NA,12,1,5449,0.24665076160763444,NA,Spain,2020,Europe
ESP,2,NA,NA,4105,3,NA,NA,NA,NA,NA,NA,NA,12,1,5449,0.7533492383923656,NA,Spain,2020,Europe
FIN,1,0.013600000000000001,0.0021908902300206644,156,2,0.013253494175094443,0.013946505824905558,NA,NA,NA,NA,NA,13,1,188,0.8297872340425532,NA,Finland,2020,Europe
FIN,2,0.016955555555555554,0.003300799566435043,32,3,0.015765490405793597,0.01814562070531751,0.0033555555555555526,6.093001405914708e-4,0.0021535702595503474,0.004557540851560758,25,13,1,188,0.1702127659574468,NA,Finland,2020,Europe
FRA,1,0.015814814814814816,0.0014814528147667953,754,4,0.015708901913669308,0.015920727715960325,NA,NA,NA,NA,NA,14,1,804,0.9378109452736318,NA,France,2020,Europe
FRA,2,0.008,0,50,3,0.008,0.008,-0.007814814814814816,5.3951329407176536e-5,-0.007920717100081288,-0.007708912529548345,-49,14,1,804,0.06218905472636816,NA,France,2020,Europe
GBR,1,0.008,0,132,3,0.008,0.008,NA,NA,NA,NA,NA,15,1,393,0.33587786259541985,NA,United Kingdom,2020,Europe
GBR,2,0.016,NA,261,3,NA,NA,0.008,NA,NA,NA,100,15,1,393,0.6641221374045801,NA,United Kingdom,2020,Europe
GRC,1,0.004,0,323,2,0.004,0.004,NA,NA,NA,NA,NA,16,1,378,0.8544973544973545,NA,Greece,2020,Europe
GRC,2,NA,NA,55,1,NA,NA,NA,NA,NA,NA,NA,16,1,378,0.1455026455026455,NA,Greece,2020,Europe
HUN,1,0.008,0,219,2,0.008,0.008,NA,NA,NA,NA,NA,19,1,534,0.4101123595505618,NA,Hungary,2020,Europe
HUN,2,NA,NA,315,1,NA,NA,NA,NA,NA,NA,NA,19,1,534,0.5898876404494382,NA,Hungary,2020,Europe
ISL,1,0.0179,0.005506561742341787,10,2,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,NA,22,1,16,0.625,NA,Iceland,2020,Europe
ISL,2,0.014,0.0021908902300206644,6,1,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.00807253894769197,2.7253894769197276e-4,-22,22,1,16,0.375,NA,Iceland,2020,Europe
ITA,1,0.06,0,644,5,0.06,0.06,NA,NA,NA,NA,NA,24,2,2351,0.2739259889408762,NA,Italy,2020,Europe
ITA,2,0.03055081300813008,0.013120362256709895,1707,4,0.029927960262218115,0.031173665754042044,-0.029449186991869918,3.1756239278947295e-4,-0.030071918578916865,-0.02882645540482297,-49,24,2,2351,0.7260740110591237,NA,Italy,2020,Europe
JPN,1,0.013101409313725491,0.0036717245256255196,3932,8,0.012986608446950222,0.013216210180500761,NA,NA,NA,NA,NA,25,2,5984,0.6570855614973262,NA,Japan,2020,Western Pacific
JPN,2,0.013993166287015945,0.004359679174986982,2052,7,0.013804423523808023,0.014181909050223868,8.917569732904539e-4,1.1265545744501939e-4,6.709116570424761e-4,0.0011126022895384317,7,25,2,5984,0.3429144385026738,NA,Japan,2020,Western Pacific
MEX,1,0.00807070707070707,7.035264706814484e-4,146,2,0.007955629165385647,0.008185784976028494,NA,NA,NA,NA,NA,28,2,343,0.42565597667638483,NA,Mexico,2020,Americas
MEX,2,NA,NA,197,1,NA,NA,NA,NA,NA,NA,NA,28,2,343,0.5743440233236151,NA,Mexico,2020,Americas
NLD,1,0.008,0,62,1,0.008,0.008,NA,NA,NA,NA,NA,29,2,204,0.30392156862745096,NA,Netherlands,2020,Europe
NLD,2,NA,NA,142,1,NA,NA,NA,NA,NA,NA,NA,29,2,204,0.696078431372549,NA,Netherlands,2020,Europe
POL,1,0.008,0,103,3,0.008,0.008,NA,NA,NA,NA,NA,31,2,500,0.206,NA,Poland,2020,Europe
POL,2,NA,NA,397,2,NA,NA,NA,NA,NA,NA,NA,31,2,500,0.794,NA,Poland,2020,Europe
PRT,1,0.008,0,344,2,0.008,0.008,NA,NA,NA,NA,NA,32,2,557,0.6175942549371634,NA,Portugal,2020,Europe
PRT,2,NA,NA,213,1,NA,NA,NA,NA,NA,NA,NA,32,2,557,0.38240574506283664,NA,Portugal,2020,Europe
SRB,1,NA,NA,3113,2,NA,NA,NA,NA,NA,NA,NA,35,2,5282,0.5893600908746687,NA,Serbia,2020,Europe
SRB,2,NA,NA,2169,1,NA,NA,NA,NA,NA,NA,NA,35,2,5282,0.4106399091253313,NA,Serbia,2020,Europe
SWE,1,0.008307692307692308,0.0015689290811054723,126,2,0.008031067535172345,0.00858431708021227,NA,NA,NA,NA,NA,38,2,553,0.22784810126582278,NA,Sweden,2020,Europe
SWE,2,0.016,NA,427,3,NA,NA,0.007692307692307693,NA,NA,NA,93,38,2,553,0.7721518987341772,NA,Sweden,2020,Europe
TUR,1,0.008,0,240,2,0.008,0.008,NA,NA,NA,NA,NA,39,2,462,0.5194805194805194,NA,Turkey,2020,Europe
TUR,2,0.02987387387387387,0.001879236954599268,222,2,0.02962531001993826,0.03012243772780948,0.02187387387387387,1.2612612612612612e-4,0.021626020495244667,0.022121727252503075,273,39,2,462,0.4805194805194805,NA,Turkey,2020,Europe
USA,1,0.011518720748829954,0.003987240460012343,741,7,0.01123116482405432,0.011806276673605589,NA,NA,NA,NA,NA,41,2,3968,0.18674395161290322,NA,United States,2020,Americas
USA,2,0.009776699029126213,0.004930902136496562,3227,11,0.009606507490636974,0.009946890567615453,-0.001742021719703741,1.702627278654959e-4,-0.002075832382109555,-0.0014082110572979267,-15,41,2,3968,0.8132560483870968,NA,United States,2020,Americas
UNCLASSIFIED,1,0.020399999999999984,0,2174,4,0.020399999999999984,0.020399999999999984,NA,NA,NA,NA,NA,43,2,2446,0.8887980376124285,NA,UNCLASSIFIED,NA,Unclassifed
UNCLASSIFIED,2,NA,NA,272,1,NA,NA,NA,NA,NA,NA,NA,43,2,2446,0.11120196238757155,NA,UNCLASSIFIED,NA,Unclassifed
GLOBAL,1,0.017843047932674716,0.012293900337634927,14626,38,0.01764379214808638,0.018042303717263054,NA,NA,NA,NA,NA,44,2,NA,0.36807006064876563,39737,GLOBAL,NA,Unclassifed
GLOBAL,2,0.014872607802874744,0.018434409063674665,25111,61,0.014644591320281338,0.015100624285468149,-0.0029704401297999724,1.544883890193235e-4,-0.00327324103166498,-0.0026676392279349646,-17,44,2,NA,0.6319299393512343,39737,GLOBAL,NA,Unclassifed
