"record_id","country","who","isolate_yr","micnos_q90","count"
2,"(unknown)",NA,2006,0.0204,10
5,"Morocco",3,2006,0.032,65
13,"Argentina",2,2000,0.008,33
13,"Australia",6,2000,0.008,25
13,"Austria",4,2000,0.008,25
13,"Belgium",4,2000,0.008,19
13,"Brazil",2,2000,0.008,145
13,"Canada",2,2000,0.008,208
13,"France",4,2000,0.008,31
13,"Germany",4,2000,0.008,87
13,"Hong Kong",6,2000,0.008,25
13,"Hungary",4,2000,0.008,28
13,"Indonesia",5,2000,0.008,6
13,"Italy",4,2000,0.008,49
13,"Japan",6,2000,0.008,120
13,"Mexico",2,2000,0.008,99
13,"Netherlands",4,2000,0.008,13
13,"Poland",4,2000,0.008,12
13,"Portugal",4,2000,0.008,42
13,"South Korea",6,2000,0.008,57
13,"Spain",4,2000,0.008,52
13,"Sweden",4,2000,0.008,25
13,"Switzerland",4,2000,0.008,114
13,"Turkey",4,2000,0.008,54
13,"USA",2,2000,0.008,174
13,"United Kingdom",4,2000,0.008,42
16,"France",4,1996,0.016,324
26,"USA",2,1980,0.0125,280
28,"Japan",6,2015,0.016,307
32,"USA",2,1977,0.016,140
35,"Austria",4,1996,0.016,50
46,"Australia",6,1998,0.016,1
46,"Canada",2,1991,0.012,1
46,"Canada",2,1995,0.016,1
46,"Canada",2,1998,0.0152,3
46,"Canada",2,2002,0.0156,2
46,"Canada",2,2003,0.016,2
46,"Canada",4,1997,0.016,1
46,"Finland",4,1995,0.016,1
46,"Finland",4,1996,0.012,1
46,"Finland",4,2000,0.012,1
46,"Finland",4,2004,0.016,1
46,"Finland",4,2006,0.012,1
46,"Finland",4,2008,0.0223,2
46,"Finland",4,2010,0.012,1
46,"Finland",4,2011,0.016,2
46,"Finland",4,2012,0.016,2
46,"Finland",4,2014,0.016,1
46,"Finland",4,2015,0.016,1
46,"Germany",4,1984,0.016,1
46,"Iceland",4,2006,0.016,1
46,"Italy",4,1997,0.012,1
46,"Norway",4,2004,0.016,1
46,"Sweden",4,1998,0.016,1
46,"Sweden",4,2007,0.016,1
46,"UK",4,2016,0.016,1
46,"USA",2,1996,0.012,1
46,"USA",2,1998,0.016,1
46,"USA",2,1999,0.016,2
46,"USA",2,2000,0.016,1
46,"USA",2,2003,0.016,4
46,"USA",2,2005,0.016,1
46,"USA",2,2006,0.0223,2
46,"USA",2,2008,0.0223,2
46,"USA",2,2009,0.012,1
46,"USA",2,2010,0.0288,3
46,"USA",2,2012,0.0256,5
46,"USA",2,2013,0.0288,3
46,"USA",4,2009,0.016,1
47,"Japan",6,1970,0.0125,2030
48,"Japan",6,1981,0.0125,497
49,"Japan",6,1978,0.0125,67
60,"Japan",6,2008,0.015,12
66,"Brazil",2,2004,0.004,130
67,"Iceland",4,1999,0.012,3
67,"Iceland",4,2000,0.016,1
67,"Iceland",4,2001,0.012,1
67,"Iceland",4,2002,0.023,5
67,"Iceland",4,2007,0.012,1
67,"Iceland",4,2008,0.012,2
67,"Iceland",4,2009,0.016,2
68,"Turkey",4,2012,0.03,222
70,"USA",2,1967,0.01,98
71,"USA",2,1971,0.016,103
74,"Germany",4,2010,0.015,1
77,"India",5,2013,0.03,78
79,"USA",2,2017,0.012,5
80,"Italy",4,1997,0.03,934
104,"USA",2,1987,0.02,20
108,"Japan",6,1985,0.016,670
239,"Greece",4,1993,0.004,49
