"record_id","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","alpha_3_code","count","mic50_1","mic90_1","micnos_1","mic90nos","micnos_q90","mic_90_agg"
39,2,"Macris",1998,1928,2,"United States Of America (The)",NA,21,NA,0.031,NA,0.031,NA,0.031
39,NA,"Macris",1998,1950,2,"United States Of America (The)",NA,29,NA,0.031,NA,0.031,NA,0.031
39,NA,"Macris",1998,1970,2,"United States Of America (The)",NA,24,NA,0.031,NA,0.031,NA,0.031
39,NA,"Macris",1998,1988,2,"United States Of America (The)",NA,59,NA,0.031,NA,0.031,NA,0.031
40,1,"Malhotra-Kumar",2003,2002,4,"Belgium","BEL",16,NA,0.01,NA,0.01,NA,0.01
41,1,"Marchese",2004,2001,4,"Italy","ITA",60,0.015,0.03,NA,0.03,NA,0.03
41,NA,"Marchese",2004,2001,4,"Italy","ITA",40,0.0075,0.0075,NA,0.0075,NA,0.0075
42,1,"Mariani-Kurkdjian",2003,2002,4,"France","FRA",93,0.016,0.016,NA,0.016,NA,0.016
43,1,"Melo-Cristino",1999,1998,4,"Portugal","PRT",302,0.008,0.012,NA,0.012,NA,0.012
44,1,"Melo-Cristino",2001,2000,4,"Portugal","PRT",213,0.012,0.016,NA,0.016,NA,0.016
45,1,"Morosini",2003,2000,4,"Spain","ESP",412,0.01,0.01,NA,0.01,NA,0.01
50,1,"Ndiaye",2009,2007,1,"Senegal","SEN",100,0.016,0.023,NA,0.023,NA,0.023
51,1,"Nunes De Melo",2003,1987,2,"Brazil","BRA",211,0.01,0.01,NA,0.01,NA,0.01
52,1,"Pfaller",1997,1995,2,"United States Of America (The)",NA,12,0.012,0.012,NA,0.012,NA,0.012
53,1,"Pfaller",2020,2017,2,"United States Of America (The)",NA,272,0.008,0.015,NA,0.015,NA,0.015
53,NA,"Pfaller",2020,2017,4,"Unknown",NA,272,0.008,0.015,NA,0.015,NA,0.015
54,1,"Putnam",2000,1995,2,"United States Of America (The)",NA,22,0.016,0.125,NA,0.125,NA,0.125
55,1,"Ranin",1993,1984,4,"Serbia","SRB",1234,0.015,0.03,NA,0.03,NA,0.03
