record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,author,pub_yr,isolate_yr,who,country,count,mic50_1,mic90_1,micnos_1
11,mic_data_extractio_arm_1,mic_data_extraction,1,Calvo,2003,1999,4,Spain,210,0.06,0.06,
12,mic_data_extractio_arm_1,mic_data_extraction,1,Campbell,1996,1994,2,USA,4,,0.008,
13,mic_data_extractio_arm_1,mic_data_extraction,1,Canton,2002,2000,6,Hong Kong,25,,,0.008
13,,,,Canton,2002,2000,6,Japan,117,,,0.008
13,,,,Canton,2002,2000,6,Japan,1,,,0.015
13,,,,Canton,2002,2000,6,Japan,2,,,0.03
13,,,,Canton,2002,2000,6,South Korea,57,,,0.008
13,,,,Canton,2002,2000,6,Australia,25,,,0.008
13,,,,Canton,2002,2000,5,Indonesia,6,,,0.008
13,mic_data_extractio_arm_1,mic_data_extraction,2,Canton,2002,2000,4,Hungary,28,,,0.008
13,,,,Canton,2002,2000,4,Poland,12,,,0.008
13,,,,Canton,2002,2000,4,Turkey,53,,,0.008
13,,,,Canton,2002,2000,4,Turkey,1,,,0.015
13,,,,Canton,2002,2000,4,Austria,23,,,0.008
13,,,,Canton,2002,2000,4,Austria,2,,,0.015
13,,,,Canton,2002,2000,4,Belgium,19,,,0.008
13,mic_data_extractio_arm_1,mic_data_extraction,3,Canton,2002,2000,4,France,31,,,0.008
13,,,,Canton,2002,2000,4,Germany,85,,,0.008
13,,,,Canton,2002,2000,4,Germany,2,,,0.015
13,,,,Canton,2002,2000,4,Italy,49,,,0.008
13,,,,Canton,2002,2000,4,Netherlands,13,,,0.008
13,,,,Canton,2002,2000,4,Portugal,42,,,0.008
13,,,,Canton,2002,2000,4,Spain,51,,,0.008
13,mic_data_extractio_arm_1,mic_data_extraction,4,Canton,2002,2000,4,Spain,1,,,0.015
13,,,,Canton,2002,2000,4,Sweden,25,,,0.008
13,,,,Canton,2002,2000,4,Switzerland,114,,,0.008
13,,,,Canton,2002,2000,4,United Kingdom,42,,,0.008
13,,,,Canton,2002,2000,2,Argentina,33,,,0.008
13,,,,Canton,2002,2000,2,Brazil,145,,,0.008
13,,,,Canton,2002,2000,2,Mexico,98,,,0.008
13,mic_data_extractio_arm_1,mic_data_extraction,5,Canton,2002,2000,2,Mexico,1,,,0.015
13,,,,Canton,2002,2000,2,Canada,207,,,0.008
13,,,,Canton,2002,2000,2,Canada,1,,,0.015
13,,,,Canton,2002,2000,2,USA,173,,,0.008
13,,,,Canton,2002,2000,2,USA,1,,,0.015
14,mic_data_extractio_arm_1,mic_data_extraction,1,Cellesi,1996,1993,4,Italy,6,,,0.015
14,mic_data_extractio_arm_1,mic_data_extraction,2,Cellesi,1996,1993,4,Italy,131,,,0.03
14,mic_data_extractio_arm_1,mic_data_extraction,3,Cellesi,1996,1993,4,Italy,53,,,0.06
15,mic_data_extractio_arm_1,mic_data_extraction,1,Chazan,2015,2011,4,Israel,208,,0.09,
15,,,,Chazan,2015,2011,4,Israel,92,,0.01,
16,mic_data_extractio_arm_1,mic_data_extraction,1,Cohen,1996,1996,4,France,5,,,0.004
16,,,,Cohen,1996,1996,4,France,56,,,0.008
16,,,,Cohen,1996,1996,4,France,258,,,0.016
16,,,,Cohen,1996,1996,4,France,5,,,0.032
17,mic_data_extractio_arm_1,mic_data_extraction,1,Coonan,1994,1990,2,USA,282,0.006,0.012,
17,,,,Coonan,1994,1990,2,USA,43,0.0078,0.0078,
